原表序号,名称,位置,收录状态,合并后编号,审核说明,免费/付费,是否可过夜,是否可用卡式炉,是否有厕所,是否可开车直达,特色亮点,清洗后描述,原表完整描述,笔记1,笔记1关联,笔记2,笔记2关联,笔记3,笔记3关联,笔记1点赞,笔记1收藏,笔记1评论,总互动量,实拍图1,图片1审核,实拍图2,图片2审核,实拍图3,图片3审核,实拍图4,图片4审核,实拍图5,图片5审核,实拍图6,图片6审核,实拍图7,图片7审核,实拍图8,图片8审核,实拍图9,图片9审核
1,九溪十八涧,杭州西湖区·九溪,待核,,来源主要为游览、徒步、溯溪或农场介绍，未能定位有独立露营依据的营位；本次暂缓展示，待补充地点与露营证据。,付费,是,是,未知,是,溪水、溪流、溪边、可看星空、可看日落、瀑布、森林、竹林,"九溪十八涧。小众, 原生态。可以游泳, 可以烧烤, 可以溯溪, 可以徒步。","九溪十八涧，位于石门村、龙上村。小众, 原生态。可以游泳, 可以烧烤, 可以溯溪, 可以徒步。Tips: 径山双溪沿线和进贤村几乎都是收费营地，适合轻装上阵，直接目的地租装备。",https://www.xiaohongshu.com/explore/6859542a0000000022031255,地点关联待核,https://www.xiaohongshu.com/explore/6a124b2800000000060344d9,地点关联待核,https://www.xiaohongshu.com/explore/69f4aa37000000001b02162f,地点关联待核,4402,2787,271,8901,https://img01.yzcdn.cn/upload_files/2025/12/19/FhcnXB_645enHlvyGD8uARIvcVo-.png,exclude,https://img01.yzcdn.cn/upload_files/2025/12/19/FtF_2jrGR2IW2fEFU1FGRHzpiiI8.png,exclude,https://img01.yzcdn.cn/upload_files/2025/12/19/FoFKe0hsKBiEkeSx_0Ka8fokSjFC.png,exclude,https://img01.yzcdn.cn/upload_files/2025/12/19/FiMrwalxHKZqp1YAyUnx-6WS9_Ha.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lrOzpRw4sIxFUW18zsuidmiLVxAz.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/liO7JEKNuQCLFYr-H5iRyhT7rXGB.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lktIRw5BdRJvXJw9QYd8UIobc7z3.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsGkQ5MEhtz1M7K2CHdOq8idXw8B.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lqHk2hiJrl9q0mrsVQYC-SyMj09d.png,existing
2,洪潭大桥,云龙湾大桥附近#不过夜露营[话题]#  ，最后一张图是具体导航地址,已合并,C031,同地点合并，逐字段采用通过检查的主数据,免费,是,是,是,是,大草坪、可烧烤,洪潭大桥。适合拍照。可以烧烤。,洪潭大桥，位于云龙湾大桥附近#不过夜露营[话题]#  ，最后一张图是具体导航地址。适合拍照。可以烧烤,https://www.xiaohongshu.com/explore/6422716c0000000014025202,地点关联待核,https://www.xiaohongshu.com/explore/68dbb20e00000000040017b6,地点关联待核,https://www.xiaohongshu.com/explore/694fa7a8000000001f00c9db,地点关联已检查,5183,0,0,7126,https://img01.yzcdn.cn/upload_files/2026/09/22/lplof5NOiHnFtvtOSL6JjjHLm3pA.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lmdqLizADGR__xAO-g2fKP8SdGJP.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/liXB4IEsuMIPFHpwgdPXHl5M8rsn.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/liHe1_USz_ijN-2_-czXdkWBfysa.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/loiL_E3cG4P1LGgoZoQIifvv85vn.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lsS3GiboLFXhlzeZQJJuW60Sa4F4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lv3R1QdPZV-8hij8dcFiKm3FlmoK.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmsJhfaxQVjwo-K6f9razTnatFvm.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lgzUV9PqTi7zyJZ_1m6KFXxdxGVq.png,exclude
3,径山新开帐篷烧烤营地,离金顶步行12～15分钟,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,未知,是,未知,未知,可烧烤,径山新开帐篷烧烤营地。可以烧烤。,径山新开帐篷烧烤营地，位于离金顶步行12～15分钟。可以烧烤,https://www.xiaohongshu.com/explore/644f83d90000000027010771,地点关联待核,https://www.xiaohongshu.com/explore/6451d69c0000000013011b2f,地点关联待核,https://www.xiaohongshu.com/explore/64b48db60000000010028c40,地点关联待核,2711,829,34,6417,http://sns-webpic-qc.xhscdn.com/202607111209/80029e76171e33764388efe96c5735ca/1000g0082e5cbdo8go00049nspcvhh3e0p3jnsn8!nd_dft_wlteh_webp_3,unreviewed,http://sns-webpic-qc.xhscdn.com/202607131932/692c3ce35807b46a837afc608aad1ee3/1000g0082eeeojkkgo0005orlnef7qqatqcjatp8!nd_dft_wlteh_webp_3,unreviewed,,,,,,,,,,,,,,
4,河桥古镇溪滩,杭州临安·河桥古镇,已合并,C024,同地点合并，逐字段采用通过检查的主数据,未知,是,是,是,是,湖景、山顶、可看星空、可烧烤、可溯溪、可桨板、萤火虫,"河桥古镇溪滩。可以玩桨板, 可以烧烤, 可以溯溪。","河桥古镇溪滩。可以玩桨板, 可以烧烤, 可以溯溪",https://www.xiaohongshu.com/explore/63fc7492000000001203f82d,地点关联待核,https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/69eefc81000000003601b053,地点关联待核,3975,0,0,6318,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lgadCzNIoJSseHpsDD8tlpZFwwqD.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lpOMXvD-QjvlMfqTbiZcXDFNfMVE.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FthHiD7nCKeoIW2gK-jv2fkapfe3.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ll3dfpF4wJRtx0YdRNB0v-kGg87J.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FrK-Rt-0aIiSY7TcD1H_8QTlqTOv.png,exclude
5,安吉古城国家考古遗址公园,湖州安吉（杭州自驾1h）,已合并,C153,同地点合并，逐字段采用通过检查的主数据,免费,是,未知,未知,是,大草坪、草坪、可看星空、可看日落、可带宠物,"安吉古城国家考古遗址公园。小众, 适合拍照, 环境安静。","安吉古城国家考古遗址公园，位于D区小木屋旁。小众, 适合拍照, 环境安静。Tips: 劈柴时记得佩戴防护手套，注意安全哦~",https://www.xiaohongshu.com/explore/6a8442b20000000029032c42,地点关联已检查,https://www.xiaohongshu.com/explore/69aa7fa90000000022023bb8,地点关联待核,https://www.xiaohongshu.com/explore/691941050000000005001363,地点关联待核,2708,2809,337,6176,https://img01.yzcdn.cn/upload_files/2026/09/22/lvQm2LlS7Fhm_cI3_6EUoBjP4IC3.png,keep,https://img01.yzcdn.cn/upload_files/2026/09/22/lnIFOP6MH7R4LPE5cvt2y7mqg2TI.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lrH7qify-LmP2JFr-kzWdXXVgD6o.png,keep,https://img01.yzcdn.cn/upload_files/2026/09/22/lo6qCpOYw8ux6kj-zWCaPdFUOPwV.png,keep,https://img01.yzcdn.cn/upload_files/2026/04/02/FkmXhc7fGISd5G-MpIhwc3kObZR5.png,exclude,https://img01.yzcdn.cn/upload_files/2026/04/02/FgptFdwvlWqpRNW_8ZDoDL04YjST.png,exclude,https://img01.yzcdn.cn/upload_files/2026/04/02/FpG0Mx6mm6agqlxfOk8tVhsUb25h.png,exclude,https://img01.yzcdn.cn/upload_files/2026/04/02/FmdU_VqSYDuHv2Eb--PE9NnMSf8d.png,exclude,https://img01.yzcdn.cn/upload_files/2026/06/29/FoD9ajBbOEZZXA_iQR8OPT72D_v0.png,exclude
6,江浙沪安全露营点,杭州周边,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,是,是,是,是,溪水、溪流、湖景、水库、大草坪、草坪、可看日出、瀑布,"江浙沪安全露营点。小众, 环境安静, 原生态。可以游泳, 可以烧烤, 可以溯溪, 可以玩桨板。","江浙沪安全露营点。小众, 环境安静, 原生态。可以游泳, 可以烧烤, 可以溯溪, 可以玩桨板。Tips: 徒步路线相对陡峭，注意安全，多人结伴出行！",https://www.xiaohongshu.com/explore/69e4306b000000001b020dcf,地点关联待核,https://www.xiaohongshu.com/explore/69bbdc4f000000002301edcf,地点关联待核,https://www.xiaohongshu.com/explore/69c4d72f000000001d01f918,地点关联待核,1776,2376,129,5303,https://img01.yzcdn.cn/upload_files/2026/09/14/lmn19CROEh2PlWle3QsjMMStpPk4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lv9PvIUC1HXTuFdTHzMN4IBDcPSz.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lu6Xlh03czsl_OZ56CnOVM7sTCWO.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lqTOV30LpC99f7jBQYlNqjwo7zjT.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/lmej4hQC9s1I2exs8L69OBw6ove4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/Fi4XzaL-txWwORyWELDXJGxh66EY.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/liieJRK1D4DJ3f-_xfgu-pZ8wkSm.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/luGWuZCIjj8mf-GXF4-NJfQwotNn.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/li2p5zzxS2_grKrBBKhxm0g2dm2f.png,exclude
7,曲院风荷,杭州西湖区·曲院风荷,已合并,C172,同地点合并，逐字段采用通过检查的主数据,付费,是,未知,是,是,湖景,验证版将游览位置记为曲院风荷3号门，介绍以湖景和拍照为主。已有笔记提到西湖边露营体验，具体可搭帐区域与过夜安排需再确认。,"曲院风荷，位于曲院风荷3号门。小众, 适合拍照",https://www.xiaohongshu.com/explore/6476e53c0000000011012dc7,地点关联已检查,https://www.xiaohongshu.com/explore/681f4cb9000000002101b56c,地点关联已检查,https://www.xiaohongshu.com/explore/6947e562000000001e0066aa,地点关联已检查,1693,596,46,5030,http://sns-webpic-qc.xhscdn.com/202606082341/45ae52a1589181f71fdfced7990cacea/1000g0082ivcvh98ii0005ns0i14g8dinrvb09jg!nd_dft_wlteh_webp_3,unreviewed,,,,,,,,,,,,,,,,
8,萧山免费滑草露营地,杭州萧山,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,未知,未知,是,是,湖景、大草坪、草坪、适合亲子、可带宠物,萧山免费滑草露营地。可以骑行。,萧山免费滑草露营地。可以骑行。Tips: 滑草板建议自带！比现场买划算，记得给娃穿耐磨的裤子哦。,https://www.xiaohongshu.com/explore/67c41eab000000002902cae0,地点关联待核,https://www.xiaohongshu.com/explore/69f4afb00000000038022bc3,地点关联待核,https://www.xiaohongshu.com/explore/691dcb24000000001f0048a8,地点关联待核,976,724,91,4986,https://img01.yzcdn.cn/upload_files/2026/09/22/lhwcW6T4vnR62KzxnCBQ26kZNiJO.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/loNJ1eAHKRNGl1-TMuR8_2Vez103.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ljwFct2B_5PGJgAdErhORrljjXDL.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ltkaW6zyaw-fzsrtQ1FCA121DuPM.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lnMf9Ft8YLlOJgYkPctemby4okd4.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/llgWXpxgYZcKBcWd8bhu4c92NbMu.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FsS_2iGyzkxN9xW_hXDpOsvJPH25.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/FpiaDq9uPy1uJIR1vIuj34TYAQN-.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lpBSproNpEPWvRsysjr1bm34CodT.png,exclude
9,临安免费露营钓鱼宝地,杭州临安,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,未知,是,是,是,湖景、水库、大草坪、草坪、可看日落、树林、可烧烤、可野炊,"临安免费露营钓鱼宝地。适合拍照。可以骑行, 可以徒步, 可以钓鱼, 可以烧烤。","临安免费露营钓鱼宝地。适合拍照。可以骑行, 可以徒步, 可以钓鱼, 可以烧烤。Tips: 江边风大，带上薄外套；树林蚊虫多，驱蚊喷雾随身带。还有重要的一点——无痕露营，垃圾带走～",https://www.xiaohongshu.com/explore/6a3293a2000000000803f492,地点关联待核,https://www.xiaohongshu.com/explore/67c41eab000000002902cae0,地点关联待核,https://www.xiaohongshu.com/explore/69d5f06a00000000220005c7,地点关联待核,1735,343,62,4927,https://img01.yzcdn.cn/upload_files/2026/09/22/lj3zQGbhMIQHRm_FgCSih6PoR-I0.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lqELPfpZHuKeDrpmtnvpzXRbnQNr.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ltzNadbV13zX5NvoJjNm_pqjBe9D.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ljhS7n-AlR0ZVlRr-oLjKIVwT6QJ.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/lhwcW6T4vnR62KzxnCBQ26kZNiJO.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/loNJ1eAHKRNGl1-TMuR8_2Vez103.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ljwFct2B_5PGJgAdErhORrljjXDL.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/ltkaW6zyaw-fzsrtQ1FCA121DuPM.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/liJvuus7elbJc35B4CWndB4cl0mx.png,exclude
10,杭州免费过夜露营地（配��完善）,杭州,待核,,无法确认独立营地身份、名称含糊或存在跨地点错配,免费,是,是,是,是,溪水、溪边、湖景、水库、大草坪、山顶、可看星空、可烧烤,"杭州免费过夜露营地（配��完善）。小众。可以捞鱼, 可以烧烤, 可以溯溪, 可以玩桨板。","杭州免费过夜露营地（配��完善）。小众。可以捞鱼, 可以烧烤, 可以溯溪, 可以玩桨板。Tips: 1⃣可以免费停车，草坪旁边就是停车场，很方便。",https://www.xiaohongshu.com/explore/6a005cf30000000035033c31,地点关联待核,https://www.xiaohongshu.com/explore/6a64d927000000000301fbbe,地点关联待核,https://www.xiaohongshu.com/explore/69d5f06a00000000220005c7,地点关联待核,708,643,1221,4921,https://img01.yzcdn.cn/upload_files/2026/06/29/FjUtOEpyniUpHRh8ZkxuCzyP_Dgt.png,exclude,https://img01.yzcdn.cn/upload_files/2026/06/29/Fn_ZApFNJTnvezW0H9J4Prz8Y6ng.png,exclude,https://img01.yzcdn.cn/upload_files/2026/06/29/FvdkXdXRioNe4kt6nNODMaJP3qYU.png,exclude,https://img01.yzcdn.cn/upload_files/2026/06/29/FmFgu4Y0LiBTDfceXiztAKxYugGw.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoUcBRJegHOoeDw9JkXaqqMpSwlu.png,exclude,https://sns-na-i1.xhscdn.com/notes_pre_post/1040g3k832325ndg6na004165r4csblh8onagvko?imageView2/2/w/1440/format/png/q/45&redImage/frame/0&ap=1&sc=DETAIL&sign=da80ef9bd197acb067cb2e1817e72a5e&t=6aa7e6f4,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FoDAA3LVqduEr2YaxJaGCDFLFdSN.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/14/FjFCUbCQ9UXmP1usHTXVCdvQsunh.png,exclude,https://img01.yzcdn.cn/upload_files/2026/09/22/liJvuus7elbJc35B4CWndB4cl0mx.png,exclude
