原表行号,序号,原名称,处理结果,地点ID,合并名称,说明
2,1,野趣推荐的溪谷露营地,待核实,,,缺少可定位名称
3,2,安吉古城国家考古遗址公园,新增地点,C153,安吉古城国家考古遗址公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
4,3,沿江景观10号桥水杉林,新增地点,C154,沿江景观10号桥水杉林,名称及地址人工比对；保留原始表格行号，不据同名自动合并
5,4,杭钢公园,新增地点,C155,杭钢公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
6,5,星空农庄（径山双溪）,新增地点,C156,星空农庄（径山双溪）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
7,6,建德之江山风农场,新增地点,C157,建德之江山风农场,名称及地址人工比对；保留原始表格行号，不据同名自动合并
8,7,青山村露营地,新增地点,C158,青山村露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
9,8,观潮城江边营地,新增地点,C159,观潮城江边营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
10,9,花屿溪营地,新增地点,C160,花屿溪营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
11,10,富阳溪边露营玩水地,待核实,,,缺少可定位名称
12,11,鹿野森谷,新增地点,C161,鹿野森谷,名称及地址人工比对；保留原始表格行号，不据同名自动合并
13,12,大朗山,新增地点,C162,大朗山,名称及地址人工比对；保留原始表格行号，不据同名自动合并
14,13,枫岭村大草坪,新增地点,C163,枫岭村大草坪,名称及地址人工比对；保留原始表格行号，不据同名自动合并
15,14,杨宅坞（三口公交站）,新增地点,C164,杨宅坞（三口公交站）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
16,15,横路湾,新增地点,C165,横路湾,名称及地址人工比对；保留原始表格行号，不据同名自动合并
17,16,宣王桥,合并已有地点,C028,宣王桥,名称及地址人工比对；保留原始表格行号，不据同名自动合并
18,17,石门村（龙门秘境）,新增地点,C166,石门村（龙门秘境）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
19,18,龙上村（攀岩小镇）,新增地点,C167,龙上村（攀岩小镇）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
20,19,鼻头石,新增地点,C168,鼻头石,名称及地址人工比对；保留原始表格行号，不据同名自动合并
21,20,天石滩,新增地点,C169,天石滩,名称及地址人工比对；保留原始表格行号，不据同名自动合并
22,21,大山村,新增地点,C170,大山村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
23,22,清凉药谷（浙西小天池）,新增地点,C171,清凉药谷（浙西小天池）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
24,23,曲院风荷,新增地点,C172,曲院风荷,名称及地址人工比对；保留原始表格行号，不据同名自动合并
25,24,青山湖太阳湾旅游驿站,合并已有地点,C016,青山湖太阳湾旅游驿站,名称及地址人工比对；保留原始表格行号，不据同名自动合并
26,25,入坑艺术公园,新增地点,C173,入坑艺术公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
27,26,进贤村绅士溪水露营地,新增地点,C174,进贤村绅士溪水露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
28,27,遐也空间,新增地点,C175,遐也空间,名称及地址人工比对；保留原始表格行号，不据同名自动合并
29,28,九溪十八涧,新增地点,C176,九溪十八涧,名称及地址人工比对；保留原始表格行号，不据同名自动合并
30,29,壶源溪（双喜村）,合并已有地点,C138,富阳双喜村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
31,30,太湖源·指南慈境,新增地点,C177,太湖源·指南慈境,名称及地址人工比对；保留原始表格行号，不据同名自动合并
32,31,大鱼线,待核实,,,整条大鱼线，不能作为独立营地
33,32,径山双溪/进贤村,待核实,,,双溪与进贤村并列，具体营位不明
34,33,鸬鸟山沟沟,新增地点,C178,鸬鸟山沟沟,名称及地址人工比对；保留原始表格行号，不据同名自动合并
35,34,东纪坞水库,新增地点,C179,东纪坞水库,名称及地址人工比对；保留原始表格行号，不据同名自动合并
36,35,滨江工业遗址公园露营地,合并已有地点,C015,滨江工业遗址公园及之江绿道廊架,名称及地址人工比对；保留原始表格行号，不据同名自动合并
37,36,之江绿道廊架,合并已有地点,C015,滨江工业遗址公园及之江绿道廊架,名称及地址人工比对；保留原始表格行号，不据同名自动合并
38,37,苕溪-落塘埠,合并已有地点,C017,余杭苕溪落塘埠,名称及地址人工比对；保留原始表格行号，不据同名自动合并
39,38,越秀风之谷公园,合并已有地点,C018,越秀风之谷公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
40,39,中科粮油育种实验基地,合并已有地点,C019,萧山中科粮油育种实验基地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
41,40,小丁松葡萄园,合并已有地点,C020,小丁松葡萄园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
42,41,长川绿道露营地,合并已有地点,C021,长川绿道,名称及地址人工比对；保留原始表格行号，不据同名自动合并
43,42,自由大草坪露营地,合并已有地点,C022,余杭自由大草坪露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
44,43,潘堰村露营地,合并已有地点,C023,潘堰村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
45,44,河桥古镇,合并已有地点,C024,河桥古镇,名称及地址人工比对；保留原始表格行号，不据同名自动合并
46,45,乌象坝&乌象大桥露营地,合并已有地点,C025,乌象坝及乌象大桥,名称及地址人工比对；保留原始表格行号，不据同名自动合并
47,46,天荒坪,合并已有地点,C026,安吉天荒坪,名称及地址人工比对；保留原始表格行号，不据同名自动合并
48,47,观新村&杭州汐遇民宿,合并已有地点,C027,观新村及杭州汐遇民宿,名称及地址人工比对；保留原始表格行号，不据同名自动合并
49,48,上店村,合并已有地点,C029,桐庐上店村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
50,49,山田大桥,合并已有地点,C030,山田大桥,名称及地址人工比对；保留原始表格行号，不据同名自动合并
51,50,洪潭大桥,合并已有地点,C031,洪潭大桥,名称及地址人工比对；保留原始表格行号，不据同名自动合并
52,51,安吉湿地,合并已有地点,C032,安吉湿地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
53,52,富阳龙鳞坝（梅州驿站）,新增地点,C180,富阳龙鳞坝（梅州驿站）,名称及地址人工比对；保留原始表格行号，不据同名自动合并
54,53,宣王桥（大鱼线）,合并已有地点,C028,宣王桥,名称及地址人工比对；保留原始表格行号，不据同名自动合并
55,54,钱岸公园七堡艺文公园,新增地点,C181,钱岸公园七堡艺文公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
56,55,康门水库,合并已有地点,C152,康门水库周边,名称及地址人工比对；保留原始表格行号，不据同名自动合并
57,56,安顶山茶山,新增地点,C182,安顶山茶山,名称及地址人工比对；保留原始表格行号，不据同名自动合并
58,57,多彩田园诗画潘堰,合并已有地点,C023,潘堰村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
59,58,北支江公园,合并已有地点,C062,北支江公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
60,59,富阳湘溪村,合并已有地点,C063,富阳湘溪村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
61,60,湘湖渔村,待核实,,,湘湖渔村与已有停车场范围关系待核
62,61,寺坞岭望江阁,合并已有地点,C065,寺坞岭望江阁,名称及地址人工比对；保留原始表格行号，不据同名自动合并
63,62,杭州青山艺术设计村,待核实,,,青山村、艺术村与已有农庄停车点范围关系待核
64,63,进贤村溪边露营地,待核实,,,进贤村溪边与已有村域线索范围关系待核
65,64,苕溪露营野地,待核实,,,苕溪范围过大
66,65,田间有座岛露营地,新增地点,C183,田间有座岛露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
67,66,壶源溪·常安镇双坝,新增地点,C184,壶源溪·常安镇双坝,名称及地址人工比对；保留原始表格行号，不据同名自动合并
68,67,壶源溪·古城桥古城坝,待核实,,,古城桥古城坝与已有安禾村古城桥对应关系待核
69,68,壶源溪·横搓村,新增地点,C185,壶源溪·横搓村,名称及地址人工比对；保留原始表格行号，不据同名自动合并
70,69,湘湖湘农路露营地,新增地点,C186,湘湖湘农路露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
71,70,北湖coffee苕溪露营地,新增地点,C187,北湖coffee苕溪露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
72,71,漫画窗,新增地点,C188,漫画窗,名称及地址人工比对；保留原始表格行号，不据同名自动合并
73,72,江畔森野露营地,新增地点,C189,江畔森野露营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
74,73,幸福翼公园,新增地点,C190,幸福翼公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
75,74,观潮城,新增地点,C159,观潮城江边营地,名称及地址人工比对；保留原始表格行号，不据同名自动合并
76,75,安吉外古庵,新增地点,C191,安吉外古庵,名称及地址人工比对；保留原始表格行号，不据同名自动合并
77,76,临安龙岗镇野营地,待核实,,,只定位到龙岗镇
78,77,千岛湖湖畔野营地,待核实,,,只定位到千岛湖
79,78,翠羊湾·休闲露营农庄,新增地点,C192,翠羊湾·休闲露营农庄,名称及地址人工比对；保留原始表格行号，不据同名自动合并
80,79,北湖草荡,合并已有地点,C033,北湖草荡,名称及地址人工比对；保留原始表格行号，不据同名自动合并
81,80,杉树林（张堰村）,合并已有地点,C034,张堰村杉树林,名称及地址人工比对；保留原始表格行号，不据同名自动合并
82,81,榉树林,合并已有地点,C035,榉树林地面停车场,名称及地址人工比对；保留原始表格行号，不据同名自动合并
83,82,溪塔村百年古樟树,合并已有地点,C036,溪塔村古樟树,名称及地址人工比对；保留原始表格行号，不据同名自动合并
84,83,余杭吴山公园,合并已有地点,C037,余杭吴山公园,名称及地址人工比对；保留原始表格行号，不据同名自动合并
